%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580572348109110819,855,1580572348060409797,,0,1,42.34944266666667,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572349089493953,856,1580572349060699979,,0,1,42.349445333333335,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572350086276033,857,1580572350069388688,,0,1,42.34945066666667,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572351109195816,858,1580572351088912308,,0,1,42.34945333333334,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572352104335541,859,1580572352099716201,,0,1,42.34945333333334,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572353113563736,860,1580572353111212005,,0,1,42.349456,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572354124023957,861,1580572354120842304,,0,1,42.34945866666666,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572355129505489,862,1580572355128881137,,0,1,42.34946933333333,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572356141239436,863,1580572356140483720,,0,1,42.349472,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572357170570099,864,1580572357160642210,,0,1,42.34948,-71.086,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572358170274059,865,1580572358160733137,,0,1,42.349496,-71.08599466666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572359169825406,866,1580572359169200058,,0,1,42.349512,-71.085984,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572360201112827,867,1580572360196013737,,0,1,42.34953333333333,-71.08596266666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572361204423169,868,1580572361203530113,,0,1,42.349549333333336,-71.08593066666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572362209333000,869,1580572362203928743,,0,1,42.349568,-71.08588266666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572363223912731,870,1580572363208904864,,0,1,42.349584,-71.085824,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572364230049491,871,1580572364229534083,,0,1,42.349605333333336,-71.08576,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572366109617610,872,1580572365241080766,,0,1,42.349626666666666,-71.08569066666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572366256855389,873,1580572366251542891,,0,1,42.34965066666667,-71.08561066666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572368081676101,874,1580572367260815757,,0,1,42.349674666666665,-71.085536,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572369109427917,875,1580572368269062613,,0,1,42.349696,-71.08546133333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572370089232168,876,1580572369278487649,,0,1,42.34971733333333,-71.08538666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572371081448827,877,1580572370289284723,,0,1,42.34973866666667,-71.08531733333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572372109159578,878,1580572371298592315,,0,1,42.34976266666666,-71.08524266666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572373091682610,879,1580572372308931503,,0,1,42.34978133333333,-71.08517333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572374081996401,880,1580572373318698724,,0,1,42.34980266666667,-71.085104,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572375109593453,881,1580572374329335016,,0,1,42.349818666666664,-71.08504,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572376089178183,882,1580572375341095317,,0,1,42.34983733333333,-71.084976,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572377085180996,883,1580572376358626547,,0,1,42.349856,-71.08491733333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572378109043322,884,1580572377369266496,,0,1,42.34986933333333,-71.084864,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572379089530233,885,1580572378381325598,,0,1,42.349882666666666,-71.08482133333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572380081944708,886,1580572379388746050,,0,1,42.34989066666667,-71.08479466666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572381109381549,887,1580572380401917288,,0,1,42.349896,-71.08477866666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572382089045975,888,1580572381409802930,,0,1,42.349896,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572383081875136,889,1580572382421726477,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572384109990552,890,1580572383429704808,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572385089095267,891,1580572384451171921,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572386079112666,892,1580572385450948447,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572387109189177,893,1580572386468559174,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572388088998368,894,1580572387468739787,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572389081983246,895,1580572388488728427,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572390109115370,896,1580572389498523109,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572391093015595,897,1580572390508902965,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572392082162406,898,1580572391523854220,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572393109154483,899,1580572392528995937,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572394089379092,900,1580572393541295257,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572395082308894,901,1580572394551147731,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572396109447793,902,1580572395561540242,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572397092584087,903,1580572396569179092,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572398079188798,904,1580572397589214378,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572399109571766,905,1580572398600081956,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572400089638986,906,1580572399608727519,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572401629241078,907,1580572400618676094,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572402642118169,908,1580572401628747078,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572403652439408,909,1580572402641605605,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572404661832312,910,1580572403651856456,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
